dish,ingredients
shrimp_and_grits,"[{""ingredient"": ""large shrimp"", ""quantity"": ""500g""}, {""ingredient"": ""stone-ground grits"", ""quantity"": ""1 cup""}, {""ingredient"": ""bacon"", ""quantity"": ""4 strips""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""1 cup""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""green onions"", ""quantity"": ""4""}, {""ingredient"": ""chicken broth"", ""quantity"": ""2 cups""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""Cajun seasoning"", ""quantity"": ""1 tsp""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}]"
spaghetti_bolognese,"[{""ingredient"": ""spaghetti"", ""quantity"": ""400g""}, {""ingredient"": ""ground beef"", ""quantity"": ""500g""}, {""ingredient"": ""onion"", ""quantity"": ""1 large""}, {""ingredient"": ""celery"", ""quantity"": ""2 stalks""}, {""ingredient"": ""carrot"", ""quantity"": ""1""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""canned tomatoes"", ""quantity"": ""400g""}, {""ingredient"": ""tomato paste"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""red wine"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""milk"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""1/2 cup""}]"
spaghetti_carbonara,"[{""ingredient"": ""spaghetti"", ""quantity"": ""400g""}, {""ingredient"": ""pancetta or guanciale"", ""quantity"": ""200g""}, {""ingredient"": ""egg yolks"", ""quantity"": ""4""}, {""ingredient"": ""whole egg"", ""quantity"": ""1""}, {""ingredient"": ""Pecorino Romano cheese"", ""quantity"": ""100g""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""50g""}, {""ingredient"": ""black pepper"", ""quantity"": ""2 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
spring_rolls,"[{""ingredient"": ""rice paper wrappers"", ""quantity"": ""12""}, {""ingredient"": ""shrimp"", ""quantity"": ""200g""}, {""ingredient"": ""rice vermicelli"", ""quantity"": ""100g""}, {""ingredient"": ""lettuce"", ""quantity"": ""6 leaves""}, {""ingredient"": ""bean sprouts"", ""quantity"": ""1 cup""}, {""ingredient"": ""carrots"", ""quantity"": ""1 medium""}, {""ingredient"": ""cucumber"", ""quantity"": ""1/2""}, {""ingredient"": ""fresh mint"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""peanut dipping sauce"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""avocado"", ""quantity"": ""1""}]"
steak,"[{""ingredient"": ""ribeye steak"", ""quantity"": ""2 x 300g""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""fresh thyme"", ""quantity"": ""3 sprigs""}, {""ingredient"": ""fresh rosemary"", ""quantity"": ""2 sprigs""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}]"
strawberry_shortcake,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""baking powder"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""butter"", ""quantity"": ""6 tbsp""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""strawberries"", ""quantity"": ""500g""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}]"
sushi,"[{""ingredient"": ""sushi rice"", ""quantity"": ""2 cups""}, {""ingredient"": ""rice vinegar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""nori sheets"", ""quantity"": ""5""}, {""ingredient"": ""sushi-grade salmon"", ""quantity"": ""200g""}, {""ingredient"": ""sushi-grade tuna"", ""quantity"": ""200g""}, {""ingredient"": ""cucumber"", ""quantity"": ""1""}, {""ingredient"": ""avocado"", ""quantity"": ""2""}, {""ingredient"": ""soy sauce"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""wasabi"", ""quantity"": ""2 tsp""}, {""ingredient"": ""pickled ginger"", ""quantity"": ""3 tbsp""}]"
tacos,"[{""ingredient"": ""corn tortillas"", ""quantity"": ""12""}, {""ingredient"": ""ground beef or chicken"", ""quantity"": ""500g""}, {""ingredient"": ""taco seasoning"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""1 cup""}, {""ingredient"": ""lettuce"", ""quantity"": ""2 cups""}, {""ingredient"": ""tomato"", ""quantity"": ""2""}, {""ingredient"": ""sour cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""salsa"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""lime"", ""quantity"": ""2""}, {""ingredient"": ""cilantro"", ""quantity"": ""1/4 cup""}]"
takoyaki,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""1 cup""}, {""ingredient"": ""dashi stock"", ""quantity"": ""2 cups""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""octopus"", ""quantity"": ""200g""}, {""ingredient"": ""green onions"", ""quantity"": ""4""}, {""ingredient"": ""pickled ginger"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""tempura bits"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""takoyaki sauce"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""Japanese mayo"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""bonito flakes"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""nori"", ""quantity"": ""2 tbsp""}]"
tiramisu,"[{""ingredient"": ""ladyfinger biscuits"", ""quantity"": ""24""}, {""ingredient"": ""mascarpone cheese"", ""quantity"": ""500g""}, {""ingredient"": ""eggs"", ""quantity"": ""4""}, {""ingredient"": ""sugar"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""espresso"", ""quantity"": ""1 cup""}, {""ingredient"": ""Marsala wine"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""cocoa powder"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}]"
tuna_tartare,"[{""ingredient"": ""sushi-grade tuna"", ""quantity"": ""300g""}, {""ingredient"": ""avocado"", ""quantity"": ""1""}, {""ingredient"": ""soy sauce"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sesame oil"", ""quantity"": ""1 tsp""}, {""ingredient"": ""lime juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""red onion"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""jalape\u00f1o"", ""quantity"": ""1""}, {""ingredient"": ""cilantro"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sesame seeds"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""wonton chips"", ""quantity"": ""1 cup""}]"
waffles,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""baking powder"", ""quantity"": ""2 tsp""}, {""ingredient"": ""sugar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""milk"", ""quantity"": ""1.75 cups""}, {""ingredient"": ""butter"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}, {""ingredient"": ""maple syrup"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""fresh berries"", ""quantity"": ""1 cup""}]"
